,ARIMA Forecast Average Mid-Price,Actual Mid-Price,ARIMA Forecast Average Bid-Ask Spread,Actual Bid-Ask Spread,RSI,True Trading Signals,ARIMA Trading Signal
6501,135.90974167939683,147.47,55.06540796296954,78.99,147.47,Sell,Hold
6502,137.31154855414184,132.11,56.91995362979992,51.97,132.11,Buy,Hold
6503,136.1740712664478,147.51,57.75162527886455,82.4,147.51,Sell,Hold
6504,136.9195945477421,126.19,57.14765903127194,35.23,126.19,Buy,Hold
6505,134.8260926538249,140.33,53.74141367692994,63.14,140.33,Sell,Hold
6506,136.24928508314883,127.45,56.29889969812397,36.26,127.45,Buy,Hold
6507,133.87108670298133,138.19,46.842826443542,57.81,138.19,Hold,Hold
6508,136.4936952474129,138.1,56.20742317521574,56.17,138.1,Hold,Hold
6509,135.77027381623208,130.37,53.769842773591414,45.29,130.37,Hold,Hold
6510,135.42991490792275,142.23,54.17005575096972,66.89,142.23,Hold,Hold
6511,137.47960008538766,140.03,54.71691453731323,64.06,140.03,Hold,Hold
6512,136.9827134480243,131.58,54.244957884989695,45.63,131.58,Hold,Hold
6513,134.55732684962783,137.65,53.18839210886281,58.95,137.65,Hold,Hold
6514,135.7157869539407,140.88,54.29706984633181,63.84,140.88,Hold,Hold
6515,139.63989918598853,146.69,61.579187009384285,74.92,146.69,Sell,Hold
6516,140.0894156495736,130.27,59.91562081091875,43.6,130.27,Buy,Hold
6517,139.02884716681464,136.38,54.468606101007786,54.22,136.38,Hold,Hold
6518,137.8686498817429,140.39,56.39609168870443,61.53,140.39,Hold,Hold
6519,137.79249684956625,144.66,56.845269117442925,69.76,144.66,Sell,Hold
6520,138.81358968872598,137.64,58.58691318892935,56.68,137.64,Hold,Hold
6521,138.95286540417638,133.27,58.63628279813001,48.91,133.27,Buy,Hold
6522,138.09457984853955,141.37,58.60784019360159,65.22,141.37,Sell,Hold
6523,137.54295119310444,130.72,56.823334200512605,42.87,130.72,Buy,Hold
6524,137.69137973459294,138.16,57.18192257664062,57.6,138.16,Hold,Hold
6525,132.72939480383556,129.64,49.15257097297303,41.42,129.64,Hold,Hold
6526,137.7040342348426,142.17,57.1393061435352,65.72,142.17,Hold,Hold
6527,137.1378522307056,140.86,57.0791825809505,61.55,140.86,Hold,Hold
6528,137.952975901951,146.56,57.69959153633365,75.08,146.56,Sell,Hold
6529,138.93710537309238,141.47,59.51224739094746,70.83,141.47,Hold,Hold
6530,138.51213685227117,138.59,59.07681159971946,62.2,138.59,Hold,Hold
6531,136.25126932767813,130.25,58.56809066355665,41.83,130.25,Buy,Hold
6532,138.32538342956641,149.26,58.81086172441424,80.17,149.26,Sell,Hold
6533,139.4579659253465,135.66,60.58209388251449,50.13,135.66,Hold,Hold
6534,138.29645640175698,136.79,58.36102535993966,57.13,136.79,Hold,Hold
6535,138.32201490263103,136.72,58.822280470482745,59.83,136.72,Hold,Hold
